,origin,destination,volume_pt,volume_car,volume_walk,volumes_calibration
214,zone_bc_24,zone_bc_15,90.0,0.0,0.0,90.0
215,zone_bc_24,zone_bc_16,2780.0,752.0,258.0,3790.0
216,zone_bc_24,zone_bc_17,663.0,0.0,0.0,663.0
217,zone_bc_24,zone_bc_19,3545.0,541.0,989.0,5075.0
218,zone_bc_24,zone_bc_20,2077.0,147.0,308.0,2532.0
219,zone_bc_24,zone_bc_21,682.0,0.0,0.0,682.0
220,zone_bc_24,zone_bc_23,99.0,254.0,116.0,469.0
221,zone_bc_24,zone_bc_24,6272.0,595.0,16363.0,23230.0
222,zone_bc_24,zone_bc_28,166.0,0.0,0.0,166.0
223,zone_bc_24,zone_bc_37,230.0,70.0,0.0,300.0
224,zone_bc_24,zone_bc_38,114.0,0.0,0.0,114.0
225,zone_bc_24,zone_bc_39,954.0,95.0,0.0,1049.0
226,zone_bc_24,zone_bc_61,66.0,0.0,0.0,66.0
227,zone_bc_28,zone_bc_9,67.0,1213.0,0.0,1280.0
228,zone_bc_28,zone_bc_14,106.0,34.0,0.0,140.0
229,zone_bc_28,zone_bc_16,847.0,152.0,0.0,999.0
230,zone_bc_28,zone_bc_24,19.0,0.0,0.0,19.0
231,zone_bc_28,zone_bc_28,396.0,0.0,0.0,396.0
232,zone_bc_28,zone_bc_33,78.0,0.0,0.0,78.0
233,zone_bc_31,zone_bc_16,396.0,117.0,0.0,513.0
234,zone_bc_31,zone_bc_24,151.0,169.0,0.0,320.0
235,zone_bc_31,zone_bc_33,112.0,76.0,0.0,188.0
236,zone_bc_32,zone_bc_16,391.0,0.0,0.0,391.0
237,zone_bc_32,zone_bc_20,526.0,0.0,0.0,526.0
238,zone_bc_33,zone_bc_1,874.0,291.0,0.0,1165.0
239,zone_bc_33,zone_bc_4,132.0,0.0,0.0,132.0
240,zone_bc_33,zone_bc_6,93.0,0.0,0.0,93.0
241,zone_bc_33,zone_bc_9,1075.0,728.0,0.0,1803.0
242,zone_bc_33,zone_bc_10,122.0,88.0,0.0,210.0
243,zone_bc_33,zone_bc_11,2355.0,1273.0,598.0,4226.0
244,zone_bc_33,zone_bc_13,2100.0,1739.0,380.0,4219.0
245,zone_bc_33,zone_bc_14,352.0,269.0,0.0,621.0
246,zone_bc_33,zone_bc_16,3078.0,1420.0,3220.0,7718.0
247,zone_bc_33,zone_bc_17,248.0,150.0,374.0,772.0
248,zone_bc_33,zone_bc_20,374.0,584.0,0.0,958.0
249,zone_bc_33,zone_bc_23,265.0,226.0,0.0,491.0
250,zone_bc_33,zone_bc_24,186.0,240.0,0.0,426.0
251,zone_bc_33,zone_bc_28,123.0,0.0,0.0,123.0
252,zone_bc_33,zone_bc_31,70.0,95.0,0.0,165.0
253,zone_bc_33,zone_bc_33,919.0,326.0,1559.0,2804.0
